[2021-11-19 05:16:18,157] [DEBUG@root] starting config...
[2021-11-19 05:23:38,921] [DEBUG@root] starting config...
[2021-11-19 05:24:03,485] [DEBUG@root] starting config...
[2021-11-19 05:26:03,340] [DEBUG@root] starting config...
[2021-11-19 05:26:03,548] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:28:42,267] [DEBUG@root] starting config...
[2021-11-19 05:28:42,349] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:28:53,568] [DEBUG@root] starting config...
[2021-11-19 05:28:53,663] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:28:56,226] [DEBUG@root] starting config...
[2021-11-19 05:28:56,306] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:29:03,924] [DEBUG@root] starting config...
[2021-11-19 05:29:04,008] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:29:10,911] [DEBUG@root] starting config...
[2021-11-19 05:29:10,993] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:29:20,629] [DEBUG@root] starting config...
[2021-11-19 05:29:20,711] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:29:29,660] [DEBUG@root] starting config...
[2021-11-19 05:29:29,741] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:29:34,511] [DEBUG@root] starting config...
[2021-11-19 05:29:34,595] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:29:40,383] [DEBUG@root] starting config...
[2021-11-19 05:29:40,470] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:30:32,809] [DEBUG@root] starting config...
[2021-11-19 05:30:32,900] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:30:36,405] [DEBUG@root] starting config...
[2021-11-19 05:30:36,489] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:05,684] [DEBUG@root] starting config...
[2021-11-19 05:31:05,768] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:13,548] [DEBUG@root] starting config...
[2021-11-19 05:31:13,632] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:15,234] [DEBUG@root] starting config...
[2021-11-19 05:31:15,321] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:18,930] [DEBUG@root] starting config...
[2021-11-19 05:31:19,012] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:21,605] [DEBUG@root] starting config...
[2021-11-19 05:31:21,687] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:24,633] [DEBUG@root] starting config...
[2021-11-19 05:31:24,714] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:26,755] [DEBUG@root] starting config...
[2021-11-19 05:31:26,837] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:28,940] [DEBUG@root] starting config...
[2021-11-19 05:31:29,023] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:31:42,926] [DEBUG@root] starting config...
[2021-11-19 05:31:46,292] [DEBUG@root] starting config...
[2021-11-19 05:31:57,681] [DEBUG@root] starting config...
[2021-11-19 05:31:57,767] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:32:16,749] [DEBUG@root] starting config...
[2021-11-19 05:32:16,831] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:33:13,269] [DEBUG@root] starting config...
[2021-11-19 05:33:13,349] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:33:18,645] [DEBUG@root] starting config...
[2021-11-19 05:33:18,727] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:35:45,729] [DEBUG@root] starting config...
[2021-11-19 05:35:45,819] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:36:06,668] [DEBUG@root] starting config...
[2021-11-19 05:36:06,753] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:36:38,977] [DEBUG@root] starting config...
[2021-11-19 05:36:39,058] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:36:40,743] [DEBUG@root] starting config...
[2021-11-19 05:36:40,832] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:36:57,601] [DEBUG@root] starting config...
[2021-11-19 05:36:57,683] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:37:11,412] [DEBUG@root] starting config...
[2021-11-19 05:37:11,494] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:37:14,894] [DEBUG@root] starting config...
[2021-11-19 05:37:14,976] [DEBUG@asyncio] Using selector: EpollSelector
[2021-11-19 05:38:02,912] [DEBUG@root] starting config...
[2021-11-19 05:38:02,992] [DEBUG@asyncio] Using selector: EpollSelector
